number,value,state,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,params_scale_pos_weight,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,datetime_start,datetime_complete,duration
35,0.2691047772305225,COMPLETE,0.6593325813375797,1,gbdt,0.5146101643416647,0.16005597849686964,7.117160778265888e-08,0.03304032130481729,9,204,1.725849175616791,187,11.30352931178285,0.2576088983501204,0.2687482020689755,,2025-09-03 16:26:18.430214,2025-09-03 16:28:29.513379,0 days 00:02:11.083165
36,0.2474743920190078,PRUNED,0.7371060771332417,0,goss,0.6165798695158518,0.02198368395663411,9.065620827601756e-08,0.05837125913925465,4,226,1.2000768454747948,82,28.493703252526846,0.2474743920190078,,,2025-09-03 16:28:29.534737,2025-09-03 16:28:40.365077,0 days 00:00:10.830340
37,0.25534296566434517,PRUNED,0.5215576405662963,1,gbdt,0.5535949869683994,0.0014528680737568617,6.111553130206364e-08,0.024318445369836447,2,152,0.5091033364730382,84,31.510952953926697,0.25534296566434517,,,2025-09-03 16:28:40.373316,2025-09-03 16:30:11.497239,0 days 00:01:31.123923
38,0.2754088274210334,COMPLETE,0.6294688396977924,1,goss,0.5053977308195057,0.004431476042737536,9.634783663959762e-08,0.03181456712263892,6,201,0.9994162265771399,78,6.785209882969539,0.26892601493184703,0.2753098132276536,,2025-09-03 16:30:11.512440,2025-09-03 16:32:41.831593,0 days 00:02:30.319153
39,0.2384447220026976,PRUNED,0.6527031022969492,0,gbdt,0.5968480071729828,0.3292526695575236,3.839456787455785e-07,0.04317275752365588,3,264,0.849262508776873,155,6.816553966287956,0.2384447220026976,,,2025-09-03 16:32:41.869353,2025-09-03 16:32:51.586993,0 days 00:00:09.717640
40,0.2713702957548341,COMPLETE,0.6541906553014523,0,goss,0.6170925700468771,4.420408025081893e-06,2.915704726124286e-07,0.04122827098636217,8,129,1.556465277025001,62,9.319801390715186,,,,2025-09-03 16:32:51.594849,2025-09-03 16:34:43.941649,0 days 00:01:52.346800
41,0.2677905060434015,COMPLETE,0.7178340899355664,0,goss,0.6526621478162614,2.9164741330030895e-05,9.337724535859518e-07,0.0893521674957849,4,44,1.598725999738458,46,37.52164634148677,0.26630675738415766,,,2025-09-03 16:34:43.964882,2025-09-03 16:36:08.431916,0 days 00:01:24.467034
42,0.2530647183156586,PRUNED,0.7469608490878271,3,goss,0.5715976474211167,0.00024039690171983105,1.5105282069475614e-06,0.01321866023438007,5,150,1.040635587689412,28,6.237617261490563,0.2530647183156586,,,2025-09-03 16:36:08.467027,2025-09-03 16:36:46.173996,0 days 00:00:37.706969
43,0.2729822092782794,PRUNED,0.6564935386949086,1,goss,0.6599226667932631,3.558576467543857e-06,4.556359940883655e-06,0.04107966612181293,4,136,1.597425393984664,81,7.0454206652385,0.26469552697394577,0.2729822092782794,,2025-09-03 16:36:46.183835,2025-09-03 16:38:07.067906,0 days 00:01:20.884071
44,0.2703103808089454,COMPLETE,0.5684706375970564,0,goss,0.5455041662537421,0.0020436386857900918,4.897170841855582e-08,0.045891625272772144,12,210,0.46105260248296276,89,10.965937407962167,0.26059104497188074,0.2699949354896498,,2025-09-03 16:38:07.113258,2025-09-03 16:39:52.758097,0 days 00:01:45.644839
45,0.2641583432021997,PRUNED,0.6761621263237945,0,gbdt,0.5673110649059461,0.0009523721290498749,2.558677796194577e-07,0.09701798365698537,7,165,1.4456853823708713,75,8.52643594294764,0.2639714506550795,0.2641583432021997,,2025-09-03 16:39:52.779755,2025-09-03 16:40:48.774770,0 days 00:00:55.995015
46,0.27366516181301836,PRUNED,0.5827605720785285,0,goss,0.5032837992940716,0.01000148091323069,2.809068289149867e-07,0.029514594236780014,5,253,0.9388125576919909,68,5.800574028970959,0.26541207976431636,0.27366516181301836,,2025-09-03 16:40:48.784373,2025-09-03 16:42:24.152802,0 days 00:01:35.368429
47,0.27349669676616706,PRUNED,0.634108754496316,0,goss,0.5074217249382644,4.5935503686294303e-07,5.277499870909547e-07,0.021512199650455144,11,23,1.9866106132060264,68,5.811826791177472,0.2680676840328305,0.27349669676616706,,2025-09-03 16:42:24.206735,2025-09-03 16:44:59.072384,0 days 00:02:34.865649
48,0.2731162117939746,COMPLETE,0.7373796430691609,0,gbdt,0.5702342690296038,0.06219393839128953,1.733767162283553e-05,0.02148601348892551,11,124,0.9328399865428181,57,5.7752133042554155,0.27295437569601655,,,2025-09-03 16:44:59.117760,2025-09-03 16:48:54.209957,0 days 00:03:55.092197
49,0.24473872183266837,PRUNED,0.7343393094075832,0,gbdt,0.5173569604695639,1.7440084483211942,0.02060441988885136,0.02693099439542782,10,206,0.4802314348007564,40,12.953358869593606,0.24473872183266837,,,2025-09-03 16:48:54.239178,2025-09-03 16:49:14.098754,0 days 00:00:19.859576
